No te rindas, aún estás a tiempo	Ani reñeme'ẽ, ikatu gueterei	
De alcanzar… y comenzar de nuevo,	Rehupyty… ha reñepyrũjey,	
Aceptar tus sombras,	Emoneívo iñipytũva nde rekópe,	
Enterrar tus miedos,	Eñotỹvo umi ndekyhyjeha,	
Liberar el lastre,	Epoívo mba'epohýigui,	
Retomar el vuelo.	Revevejeývo.	
No te rindas que la vida es eso,	Ani reñeme'ẽ péva hína pe ñanemoingovéva,	
Continuar el viaje,	Embojoapy nde guata,	
Perseguir tus sueños,	Ani rehejarei nde kerayvoty,	
Destrabar el tiempo,	Emosãso ára,	
Correr los escombros,	Emboyke kusugue	
Y destapar el cielo.	Ha eipe'a arapy rokẽ.	
No te rindas, por favor, no cedas,	Ani reñeme'ẽ, ani nekangy,	
Aunque el frío queme,	Jepémo ro'y nderapy,	
Aunque el miedo muerda,	Jepémo kyhyje ndesu'urasy,	
Aunque el sol se esconda,	Jepémo kuarahy oñemi,	
Y se calle el viento,	Jepémo yvytu okirirĩ,	
Aún hay fuego en tu alma	Oĩgui gueterei tata ne ángape	
Aún hay vida en tus sueños.	Oĩgui gueterei pytuhẽ nde kerayvotýpe.	
Porque la vida es tuya y tuyo también el deseo	Tekove ha'égui nemba'e ha nemba'égui avei tembipota	
Porque lo has querido y porque yo te quiero	Ndentevoi reipotágui ha che rohayhúgui	
Porque existe el vino y el amor, es cierto.	Oĩgui yvaũrykue ha mborayhu, añetehápe.	
Porque no hay heridas que no cure el tiempo.	Ndaipórigui pere ára omonguera'ỹva.	
Abrir las puertas,	Eipe'a okẽ,	
Quitar los cerrojos,	Ehekýi mba'embotyha,	
Abandonar las murallas que te protegieron,	Eheja ogapy neñongatuva'ekue,	
Vivir la vida y aceptar el reto,	Emoingo nde reko ha embohovake apañuãi,	
Recuperar la risa,	Eñemomba'ejey pukáre,	
Ensayar un canto,	Eñeha'ã ha epurahéi,	
Bajar la guardia y extender las manos	Emboguejy nde jyva oñorairõséva ha eipyso nde po	
Desplegar las alas	Embosako'i nde pepo	
E intentar de nuevo,	Ha eñeha'ãjey,	
Celebrar la vida y retomar los cielos.	Egueroayvu nde rekove ha eñemomba'e arapýre.	
No te rindas, por favor, no cedas,	Ani reñeme'ẽ, ani nekangy,	
Aunque el frío queme,	Jepémo ro'y nderapy	
Aunque el miedo muerda,	Jepémo kyhyje ndesu'urasy,	
Aunque el sol se ponga y se calle el viento,	Jepémo kuarahy oñemi ha yvytu okirirĩ,	
Aún hay fuego en tu alma,	Oĩgui gueterei tata ne ángape,	
Aún hay vida en tus sueños	Oĩgui gueterei pytuhẽ nde kerayvotýpe	
Porque cada día es un comienzo nuevo,	Ára pyahu he'iségui ñepyrũjey,	
Porque esta es la hora y el mejor momento.	Ko'áĝa ha'égui pe aravoite.	
Porque no estás solo, porque yo te quiero…	Nereiméigui ne año ha che rohayhúgui…	
Mario Benedetti nació en Paso de los Toros, Takuarembo, República Oriental del Uruguay el día 14 de setiembre del año 1920; y falleció en la Ciudad de Montevideo, Uruguay, el día 17 de mayo del año 2009.	Mario Benedetti niko heñóikuri Paso de los Toros, Takuarembo; Uruguay retãme, ára 14 jasyporundy ary 1920-pe; ha omanókuri Táva Montevideo, Uruguay retãme, ára 17 jasypo ary 2009-pe.	
