no te rindas;rendir:v , aún estás;estar:v a tiempo;*:n	ani reñeme'ẽ;me'ẽ:v , ikatu;katu:v gueterei
de alcanzar;*:v … y comenzar;*:v de nuevo;*:a|*:n ,	rehupyty;<hupyty:v … ha reñepyrũjey;pyrũ:v|ñepyrũ:v ,
aceptar;*:v tus sombras;sombra:n ,	emoneívo iñipytũva nde;*|*:n rekópe;<heko:n ,
enterrar;*:v tus miedos;miedo:n ,	eñotỹvo;ñotỹ:v (vo) umi ndekyhyjeha;kyhyje:v ,
liberar;*:v el lastre;*:n|lastrar:v ,	epoívo;poi:v (vo) mba'epohýigui ,
retomar el vuelo;volar:v|*:n .	revevejeývo;veve:v (vo) .
no te rindas;rendir:v que la vida;*:n es;ser:v eso ,	ani reñeme'ẽ;me'ẽ:v péva;*|pe:n|*:n hína pe;*|*:n ñanemoingovéva;moingo:v ,
continuar el viaje;viajar:v|*:n ,	embojoapy;mbojoapy:v nde;*|*:n guata;*:n ,
perseguir;*:v tus sueños;sueño:n ,	ani rehejarei;<heja:v nde;*|*:n kerayvoty;*:n ,
destrabar el tiempo;*:n ,	emosãso ára;*:n ,
correr;*:v los escombros;escombro:n ,	emboyke;mboyke:v kusugue;*:n
y destapar;*:v el cielo;*:n .	ha eipe'a;pe'a:v arapy;*:n rokẽ;<hokẽ:n .
no te rindas;rendir:v , por favor;*:n , no cedas;ceder:v ,	ani reñeme'ẽ;me'ẽ:v , ani nekangy;kangy:v ,
aunque el frío;freír:v|*:a|*:n queme;quemar:v ,	jepémo ro'y;*:n nderapy;<hapy:v ,
aunque el miedo;*:n muerda;morder:v ,	jepémo kyhyje;*:n ndesu'urasy ,
aunque el sol;*:n se esconda;esconder:v ,	jepémo kuarahy;*:n oñemi;ñemi:v ,
y se calle;callar:v|*:n el viento;*:n ,	jepémo yvytu;*:n okirirĩ;kirirĩ:v ,
aún hay fuego;*:n en tu alma;*:n	oígui gueterei tata;<hata:n ne;nde:n ángape;ánga:n
aún hay vida;*:n en tus sueños;sueño:n .	oĩgui;ĩ:v gueterei pytuhẽ;*:n nde;*|*:n kerayvotýpe;kerayvoty:n .
porque la vida;*:n es;ser:v tuya y tuyo también el deseo;*:n|desear:v	tekove;<heko:n|<hekove:n ha'égui;'e:v nemba'e ha nemba'égui avei tembipota;<hembipota:n
porque lo has;haber:v querido;*:a|*:n|querer:v y porque yo te quiero;querer:v	ndentevoi reipotágui;pota:v ha che;*|*:n rohayhúgui;<hayhu:v
porque existe;existir:v el vino;venir:v|*:n y el amor;*:n , es;ser:v cierto;*:a .	oĩgui;ĩ:v yvaũrykue ha mborayhu;*:n , añetehápe;*|añete:n .
porque no hay heridas;herir:v|herida:n que no cure;curar:v el tiempo;*:n .	ndaipórigui pere;pe:n|*:n ára;*:n omonguera'ỹva;monguera:v .
abrir;*:v las puertas;puerta:n ,	eipe'a;pe'a:v okẽ ,
quitar;*:v los cerrojos;cerrojo:n ,	ehekýi;<hekýi:v mba'embotyha ,
abandonar;*:v las murallas;muralla:n que te protegieron;proteger:v ,	eheja;<heja:v ogapy neñongatuva'ekue;ñongatu:v ,
vivir;*:n|*:v la vida;*:n y aceptar;*:v el reto;retar:v|*:n ,	emoingo;moingo:v nde;*|*:n reko;<heko:n ha embohovake apañuãi ,
recuperar;*:v la risa;*:n ,	eñemomba'ejey;momba'e:v pukáre;puka:n ,
