no te rindas;rendir:v:[n=0,p=2] , aún estás;estar:v:[n=0,p=2] a tiempo;*:n:[n=0]	ani reñeme'ẽ;ñeme'ẽ:v|me'ẽ:v , ikatu;katu:v gueterei
de alcanzar;*:v:[] … y comenzar;*:v:[] de nuevo;*:a:[n=0]|*:n:[n=0] ,	rehupyty;<hupyty:v … ha reñepyrũjey;ñepyrũ:v|pyrũ:v ,
aceptar;*:v:[] tus sombras;sombra:n:[n=1] ,	emoneívo iñipytũva nde;*:n|* rekópe;<heko:n ,
enterrar;*:v:[] tus miedos;miedo:n:[n=1] ,	eñotỹvo;ñotỹ:v (vo) umi ndekyhyjeha;kyhyje:v ,
liberar;*:v:[] el lastre;lastrar:v:[n=0,p=3]|*:n:[n=0]|lastrar:v:[n=0,p=1] ,	epoívo;poi:v (vo) mba'epohýigui ,
retomar el vuelo;*:n:[n=0] .	revevejeývo;veve:v (vo) .
no te rindas;rendir:v:[n=0,p=2] que la vida;*:n:[n=0] es;ser:v:[n=0,p=3] eso ,	ani reñeme'ẽ;ñeme'ẽ:v|me'ẽ:v péva;pe:n|*:n|* hína pe;*:n|* ñanemoingovéva;moingo:v|moingove:v ,
continuar el viaje;*:n:[n=0] ,	embojoapy;mbojoapy:v|joapy:v nde;*:n|* guata;*:n ,
perseguir;*:v:[] tus sueños;sueño:n:[n=1] ,	ani rehejarei;<heja:v nde;*:n|* kerayvoty;*:n ,
destrabar el tiempo;*:n:[n=0] ,	emosãso;mosãso:v ára;*:n ,
correr;*:v:[] los escombros;escombro:n:[n=1] ,	emboyke;mboyke:v kusugue;*:n
y destapar;*:v:[] el cielo;*:n:[n=0] .	ha eipe'a;pe'a:v arapy;*:n rokẽ;<hokẽ:n .
no te rindas;rendir:v:[n=0,p=2] , por favor;*:n:[n=0] , no cedas;ceder:v:[n=0,p=2] ,	ani reñeme'ẽ;ñeme'ẽ:v|me'ẽ:v , ani nekangy;kangy:v ,
aunque el frío;*:a:[n=0]|*:n:[n=0]|freír:v:[n=0,p=1] queme;quemar:v:[n=0,p=1]|quemar:v:[n=0,p=3] ,	jepémo ro'y;*:n nderapy;<hapy:v ,
aunque el miedo;*:n:[n=0] muerda;morder:v:[n=0,p=3]|morder:v:[n=0,p=1] ,	jepémo kyhyje;*:n ndesu'urasy ,
aunque el sol;*:n:[n=0] se esconda;esconder:v:[n=0,p=3]|esconder:v:[n=0,p=1] ,	jepémo kuarahy;*:n oñemi;ñemi:v ,
y se calle;callar:v:[n=0,p=1]|*:n:[n=0]|callar:v:[n=0,p=3] el viento;*:n:[n=0] ,	jepémo yvytu;*:n okirirĩ;kirirĩ:v ,
aún hay fuego;*:n:[n=0] en tu alma;*:n:[n=0]	oígui gueterei tata;<hata:n ne;nde:n ángape;ánga:n
aún hay vida;*:n:[n=0] en tus sueños;sueño:n:[n=1] .	oĩgui;ĩ:v gueterei pytuhẽ;*:n nde;*:n|* kerayvotýpe;kerayvoty:n .
porque la vida;*:n:[n=0] es;ser:v:[n=0,p=3] tuya y tuyo también el deseo;desear:v:[n=0,p=1]|*:n:[n=0]	tekove;<heko:n|<hekove:n ha'égui;'e:v nemba'e ha nemba'égui avei tembipota;<hembipota:n
porque lo has;haber:v:[n=0,p=2] querido;querer:v:[n=0]|*:a:[n=0]|*:n:[n=0] y porque yo te quiero;querer:v:[n=0,p=1]	ndentevoi reipotágui;pota:v ha che;*:n|* rohayhúgui;<hayhu:v
porque existe;existir:v:[n=0,p=3] el vino;venir:v:[n=0,p=3]|*:n:[n=0] y el amor;*:n:[n=0] , es;ser:v:[n=0,p=3] cierto;*:a:[n=0] .	oĩgui;ĩ:v yvaũrykue ha mborayhu;*:n , añetehápe;añete:n|* .
porque no hay heridas;herir:v:[n=1]|herida:n:[n=1] que no cure;curar:v:[n=0,p=3]|curar:v:[n=0,p=1] el tiempo;*:n:[n=0] .	ndaipórigui pere;pe:n|*:n ára;*:n omonguera'ỹva;monguera:v .
abrir;*:v:[] las puertas;puerta:n:[n=1] ,	eipe'a;pe'a:v okẽ ,
quitar;*:v:[] los cerrojos;cerrojo:n:[n=1] ,	ehekýi;<hekýi:v mba'embotyha ,
abandonar;*:v:[] las murallas;muralla:n:[n=1] que te protegieron;proteger:v:[n=1,p=3] ,	eheja;<heja:v ogapy neñongatuva'ekue;ñongatu:v ,
vivir;*:v:[]|*:n:[n=0] la vida;*:n:[n=0] y aceptar;*:v:[] el reto;retar:v:[n=0,p=1]|*:n:[n=0] ,	emoingo;moingo:v nde;*:n|* reko;<heko:n ha embohovake;mbohovake:v apañuãi ,
recuperar;*:v:[] la risa;*:n:[n=0] ,	eñemomba'ejey;momba'e:v|ñemomba'e:v pukáre;puka:n ,
ensayar;*:v:[] un;*:a:[n=0] canto;*:n:[n=0]|cantar:v:[n=0,p=1] ,	eñeha'ã;<ha'ã:v|ha'ã:v|ñeha'ã:v ha epurahéi;purahéi:v ,
bajar;*:v:[] la guardia;*:n:[n=0] y extender;*:v:[] las manos;mano:n:[n=1]	emboguejy;mboguejy:v|guejy:v nde;*:n|* jyva;*:n oñorairõséva;ñorairõ:v ha eipyso;pyso:v nde;*:n|* po;*:n|*
desplegar;*:v:[] las alas;ala:n:[n=1]	embosako'i;mbosako'i:v nde;*:n|* pepo;po:v|*:n
e intentar;*:v:[] de nuevo;*:a:[n=0]|*:n:[n=0] ,	ha eñeha'ãjey;<ha'ã:v|ha'ã:v|ñeha'ã:v ,
celebrar;*:v:[] la vida;*:n:[n=0] y retomar los cielos;cielo:n:[n=1] .	egueroayvu;ayvu:v nde;*:n|* rekove;<heko:n|<hekove:n ha eñemomba'e;momba'e:v|ñemomba'e:v arapýre;arapy:n .
no te rindas;rendir:v:[n=0,p=2] , por favor;*:n:[n=0] , no cedas;ceder:v:[n=0,p=2] ,	ani reñeme'ẽ;ñeme'ẽ:v|me'ẽ:v , ani nekangy;kangy:v ,
